"","Host","Accession","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","fna"
"13","Anaerostipes","OP172637","Anaerostipes phage AC844P3","Anaerostipes phage AC844P3 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36431,FALSE,"40.290","DNA","27-DEC-2022",59,"13.5593220338983","86.4406779661017","87.5518102714721",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Anaerostipes caccae DA844","Lachnospiraceae",TRUE,"Bacteria","Bacillota","Clostridia","Lachnospirales","fna"
"14","Anoxybacillus","MG969427","Anoxybacillus phage A403","Anoxybacillus phage A403 Tandoganvirus A403 Tandoganvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40847,FALSE,"36.769","DNA","21-MAR-2018",60,"23.3333333333333","76.6666666666667","91.4901951183685",NA,0,"Tandoganvirus","Tandoganvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Anoxybacillus caldiproteolyticus","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"15","Bacillus","OM982668","Bacillus phage SBSphiJ1","Bacillus phage SBSphiJ1 Nitunavirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",154537,FALSE,"42.224","DNA","15-NOV-2022",250,"80.8","19.2","90.0353960540194",NA,5,"Nitunavirus","Nitunavirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis BEST7003","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"16","Bacillus","GU233956","Bacillus phage 11143","Bacillus phage 11143 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39077,FALSE,"34.962","DNA","17-APR-2013",55,"87.2727272727273","12.7272727272727","88.2872277810477",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"17","Bacillus","OM982669","Bacillus phage SBSphiJ2","Bacillus phage SBSphiJ2 Nitunavirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",157682,FALSE,"42.166","DNA","15-NOV-2022",255,"80.3921568627451","19.6078431372549","89.8548978323461",NA,5,"Nitunavirus","Nitunavirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis BEST7003","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"18","Bacillus","OK349510","Bacillus phage BM-P1","Bacillus phage BM-P1 Grisebachstrassevirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",153087,FALSE,"41.936","DNA","31-OCT-2022",258,"82.9457364341085","17.0542635658915","87.3856042642419",NA,6,"Grisebachstrassevirus","Grisebachstrassevirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus sp.","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"19","Bacillus","KU878088","Bacillus phage AR9","Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",251042,TRUE,"27.752","DNA","01-JUN-2016",296,"61.8243243243243","38.1756756756757","89.6164785175389",NA,1,"Takahashivirus","Takahashivirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis subsp. subtilis 168","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"20","Bacillus","PP626411","Bacillus phage fHSPT3","Bacillus phage fHSPT3 Siophivirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",150187,FALSE,"39.071","DNA","23-APR-2024",221,"20.3619909502262","79.6380090497738","90.4172797911936",NA,0,"Siophivirus","Siophivirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis subsp. subtilis str. 168","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"21","Bacillus","CP013282","Bacillus phage pGIL02","Bacillus phage pGIL02 Betatectivirus Bam35 Betatectivirus Tectiviridae Kalamavirales Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses",14961,FALSE,"39.703","DNA","29-NOV-2016",26,"0","100","88.5903348706637",NA,0,"Betatectivirus","Betatectivirus","Unclassified","Tectiviridae","Kalamavirales","Tectiliviricetes","Preplasmiviricota","Bamfordvirae","Varidnaviria","Group I","PHG","Bacillus thuringiensis serovar israelensis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"22","Bacillus","MF288919","Bacillus phage AaronPhadgers","Bacillus phage AaronPhadgers Wphvirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",161772,FALSE,"38.654","DNA","02-MAR-2018",285,"75.4385964912281","24.5614035087719","91.9479267116683",NA,3,"Wphvirus","Wphvirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"23","Bacillus","OK499976","Bacillus phage vB_BanH_JarJar","Bacillus phage vB_BanH_JarJar Bequatrovirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",161711,FALSE,"37.811","DNA","15-DEC-2021",278,"78.0575539568345","21.9424460431655","91.9584938563239",NA,0,"Bequatrovirus","Bequatrovirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"24","Bacillus","KF296718","Bacillus phage phiCM3","Bacillus phage phiCM3 Camtrevirus CM3 Camtrevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38772,FALSE,"35.482","DNA","26-FEB-2014",52,"94.2307692307692","5.76923076923077","83.4958217270195",NA,0,"Camtrevirus","Camtrevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus thuringiensis strain YM-03","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"25","Bacillus","KJ489397","Bacillus phage CAM003","Bacillus phage CAM003 Bastillevirus CAM003 Bastillevirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",160541,FALSE,"38.031","DNA","24-SEP-2020",289,"76.1245674740484","23.8754325259516","92.7295830971528",NA,8,"Bastillevirus","Bastillevirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus thuringiensis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"26","Bacillus","ON528935","Bacillus phage vB_BteM-A9Y","Bacillus phage vB_BteM-A9Y Spizizenvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38634,FALSE,"41.047","DNA","29-AUG-2023",55,"85.4545454545455","14.5454545454545","91.8387948439199",NA,0,"Spizizenvirus","Spizizenvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus tequilensis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"27","Bacillus","OM654379","Bacillus phage vB_BauS_KLEB27-1","Bacillus phage vB_BauS_KLEB27-1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",64960,FALSE,"47.291","DNA","04-APR-2022",102,"89.2156862745098","10.7843137254902","90.2262931034483",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus australimaris strain KR4M-27","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"28","Bacillus","KU847400","Bacillus phage Crookii","Bacillus phage Crookii Wphvirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",154012,FALSE,"37.165","DNA","04-AUG-2016",264,"75","25","91.9973768277796",NA,2,"Wphvirus","Wphvirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus anthracis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"29","Bacillus","KF554508","Bacillus phage CP-51","Bacillus phage CP-51 Siminovitchvirus CP51 Siminovitchvirus Spounavirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",138658,FALSE,"40.860","DNA","10-JUL-2014",201,"92.5373134328358","7.46268656716418","90.1989066624356",NA,2,"Siminovitchvirus","Siminovitchvirus","Spounavirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus HER1399","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"30","Bacillus","KT895374","Bacillus phage vB_BpuM-BpSp","Bacillus phage vB_BpuM-BpSp Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",255569,TRUE,"25.885","DNA","02-JUN-2016",314,"69.1082802547771","30.8917197452229","91.6261361902265",NA,0,"Takahashivirus","Takahashivirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus pumilus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"31","Bacillus","OM982670","Bacillus phage SBSphiJ3","Bacillus phage SBSphiJ3 Nitunavirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",154836,FALSE,"42.232","DNA","15-NOV-2022",251,"80.4780876494024","19.5219123505976","89.3073962127671",NA,5,"Nitunavirus","Nitunavirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis BEST7003","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"32","Bacillus","KT187252","Bacillus phage PBC6","Bacillus phage PBC6 Tsarbombavirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",157147,FALSE,"39.910","DNA","30-JUN-2017",224,"13.8392857142857","86.1607142857143","91.1064162853888",NA,17,"Tsarbombavirus","Tsarbombavirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"33","Bacillus","OM236513","Bacillus phage SP82G","Bacillus phage SP82G Okubovirus Spounavirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",132896,FALSE,"39.975","DNA","22-JUN-2022",210,"89.5238095238095","10.4761904761905","85.8257584878401",NA,3,"Okubovirus","Okubovirus","Spounavirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"34","Bacillus","JX094431","Bacillus phage vB_BceM_Bc431v3","Bacillus phage vB_BceM_Bc431v3 Caeruleovirus Bc431 Caeruleovirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",158621,FALSE,"39.978","DNA","14-MAR-2013",233,"16.7381974248927","83.2618025751073","91.188430283506",NA,19,"Caeruleovirus","Caeruleovirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"35","Bacillus","MT151604","Bacillus phage P59","Bacillus phage P59 Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",159363,FALSE,"42.337","DNA","21-JAN-2021",257,"86.3813229571984","13.6186770428016","88.0938486348776",NA,16,"Bastillevirinae","Unclassified","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Cytobacillus oceanisediminis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"36","Bacillus","ON975036","Bacillus phage Thurquoise","Bacillus phage Thurquoise Caeruleovirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",165897,FALSE,"39.735","DNA","01-MAR-2023",238,"85.2941176470588","14.7058823529412","89.4121051013581",NA,18,"Caeruleovirus","Caeruleovirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"37","Bacillus","KJ489398","Bacillus phage Evoli","Bacillus phage Evoli Bastillevirus evoli Bastillevirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",159656,FALSE,"38.059","DNA","24-SEP-2020",284,"76.056338028169","23.943661971831","92.8865811494714",NA,8,"Bastillevirus","Bastillevirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"38","Bacillus","MG710484","Bacillus phage BtiUFT6.51-F","Bacillus phage BtiUFT6.51-F Camtrevirus BtCS33 Camtrevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42076,FALSE,"35.334","DNA","27-APR-2018",61,"88.5245901639344","11.4754098360656","85.5309440060842",NA,0,"Camtrevirus","Camtrevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus thuringiensis israelensis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"39","Bacillus","KT070867","Bacillus phage PBC2","Bacillus phage PBC2 Haetaevirus PBC2 Haetaevirus Andregratiavirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",168689,FALSE,"34.419","DNA","30-JUN-2017",259,"71.8146718146718","28.1853281853282","90.1451784052309",NA,19,"Haetaevirus","Haetaevirus","Andregratiavirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"40","Bacillus","KX987999","Bacillus phage BCP12","Bacillus phage BCP12 Tsarbombavirus BCP78 Tsarbombavirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",155985,FALSE,"39.846","DNA","30-APR-2018",242,"13.6363636363636","86.3636363636364","86.5455011699843",NA,18,"Tsarbombavirus","Tsarbombavirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"41","Bacillus","OM634661","Bacillus phage vB_BauM_KLEB27-3","Bacillus phage vB_BauM_KLEB27-3 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",216671,TRUE,"33.475","DNA","04-APR-2022",279,"32.6164874551971","67.3835125448029","91.8447784890456",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus australimaris sKR4M-27","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"42","Bacillus","KX495186","Bacillus phage PK16","Bacillus phage PK16 Caeruleovirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",158127,FALSE,"39.858","DNA","01-AUG-2017",226,"15.929203539823","84.070796460177","90.5025707184731",NA,19,"Caeruleovirus","Caeruleovirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus cereus ATCC 21772","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"43","Bacillus","MF498901","Bacillus phage Anthony","Bacillus phage Anthony Bastillevirus CAM003 Bastillevirus Bastillevirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",159983,FALSE,"38.048","DNA","19-AUG-2017",277,"74.3682310469314","25.6317689530686","91.8378827750448",NA,6,"Bastillevirus","Bastillevirus","Bastillevirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"44","Bacillus","MF407276","Bacillus phage vB_BveP-Goe6","Bacillus phage vB_BveP-Goe6 Salasvirus Goe6 Salasvirus Picovirinae Salasmaviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",19105,FALSE,"39.780","DNA","19-JAN-2018",25,"44","56","93.0070662130332",NA,0,"Salasvirus","Salasvirus","Picovirinae","Salasmaviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus velezensis FZB42","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"45","Bacillus","CP052843","Bacillus phage Hybphi3Ts","Bacillus phage Hybphi3Ts Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",31849,FALSE,"35.624","DNA","05-MAY-2020",51,"9.80392156862745","90.1960784313726","50.7802442776853",NA,0,"Spbetavirus","Spbetavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus subtilis subsp. subtilis str. 168","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"46","Bacillus","KF188458","Bacillus phage Wip1","Bacillus phage Wip1 Betatectivirus Wip1 Betatectivirus Tectiviridae Kalamavirales Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses",14319,FALSE,"36.846","DNA","16-SEP-2013",25,"96","4","88.7282631468678",NA,0,"Betatectivirus","Betatectivirus","Unclassified","Tectiviridae","Kalamavirales","Tectiliviricetes","Preplasmiviricota","Bamfordvirae","Varidnaviria","Group I","PHG","Bacillus anthracis","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"47","Bacillus","OR509663","Bacillus phage vB_BanS-A16R1","Bacillus phage vB_BanS-A16R1 Wbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39569,FALSE,"35.030","DNA","25-NOV-2023",54,"87.037037037037","12.962962962963","88.6906416639288",NA,0,"Wbetavirus","Wbetavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Bacillus anthracis str. A16R","Bacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
