SubtiWiki,BSU_number,FuncId,FuncName1,FuncName2,FuncName3,FuncName4,FuncName5
spoVB,BSU27670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
spoVE,BSU15210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
walJ,BSU40370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
yabM,BSU00570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ykuQ,BSU14180,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ykuR,BSU14190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
yrpC,BSU26810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ytgP,BSU30050,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
gcaD,BSU00500,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ldt,BSU14040,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
alr,BSU04640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
dgkB,BSU06720,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yfnI,BSU07260,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yqgS,BSU24840,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yvgJ,BSU33360,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
ltaS,BSU07710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
dgkA,BSU25310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
dltA,BSU38500,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltB,BSU38510,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltC,BSU38520,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltD,BSU38530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltE,BSU38540,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
ggaA,BSU35690,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
ggaB,BSU35680,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
pgcA,BSU09310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
gtaB,BSU35670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
gtaC,BSU38210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
mnaA,BSU35660,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagA,BSU35750,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagB,BSU35760,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagC,BSU35770,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagD,BSU35740,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagE,BSU35730,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagF,BSU35720,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagO,BSU35530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tuaA/1,BSU35609,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaA/2,BSU35610,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaB,BSU35600,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaC,BSU35590,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaD,BSU35580,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaE,BSU35570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaF,BSU35560,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaG,BSU35550,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaH,BSU35540,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tagG,BSU35710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagH,BSU35700,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagT,BSU35840,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagU,BSU35650,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagV,BSU35520,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
dacA,BSU00100,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpC,BSU04140,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpF,BSU10110,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpH,BSU13980,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpB,BSU15160,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
spoVD,BSU15170,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpX,BSU16950,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacC,BSU18350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
ponA,BSU22320,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacB,BSU23190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacF,BSU23480,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpA,BSU25000,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpI,BSU27310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpD,BSU31490,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpE,BSU34440,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpG,BSU37510,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
uppS,BSU16530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of the carrier lipid undecaprenylphosphate,NA
bcrC,BSU36530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of the carrier lipid undecaprenylphosphate,NA
dynA,BSU22030,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreBH,BSU14470,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
rodZ,BSU16910,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreD,BSU28010,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreC,BSU28020,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreB,BSU28030,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mbl,BSU36410,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
rodA,BSU38120,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
yvcK,BSU34760,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
cwlK,BSU02810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlT,BSU04970,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytF,BSU09370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytE,BSU09420,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xlyB,BSU12460,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xepA,BSU12780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xlyA,BSU12810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
iseA,BSU18380,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
yocH,BSU19210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlS,BSU19410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
blyA,BSU21410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlH,BSU25710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlA,BSU25900,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
ysbB,BSU28900,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytT,BSU28920,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytS,BSU28930,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytG,BSU31120,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
pbpE,BSU34440,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlO,BSU34800,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytC,BSU35620,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytB,BSU35630,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytA,BSU35640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytD,BSU35780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlQ,BSU11570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlP,BSU21350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
ytkC,BSU30640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis/ based on similarity,NA
ykvT,BSU13820,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis/ based on similarity,NA
nagZ,BSU01660,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
amiE,BSU01670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murP,BSU01680,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murR,BSU01690,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murQ,BSU01700,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
nagA,BSU35010,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
nagB,BSU35020,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
gamP,BSU02350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
gamA,BSU02360,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
ybgA,BSU02370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
yqiI,BSU24190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,additional genes,NA
ggt,BSU18410,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
pgdS,BSU35860,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capE,BSU35870,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capA,BSU35880,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capC,BSU35890,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capB,BSU35900,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
yodU,BSU19810,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation/ based on similarity,NA,NA
ypqP,BSU21670,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation/ based on similarity,NA,NA
cpgA,BSU15780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
cwlJ,BSU02600,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ydjM,BSU06250,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
wprA,BSU10770,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ykfB,BSU12980,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ykfC,BSU12990,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
cwlC,BSU17410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIIM,BSU23530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yqgT,BSU24830,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIIP,BSU25530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
lytH,BSU32340,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIID,BSU36750,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
wapA,BSU39230,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yycI,BSU40380,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yycH,BSU40390,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
walK,BSU40400,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
walR,BSU40410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
pdaC,BSU12100,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yabE,BSU00400,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ylbI,BSU15020,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yngB,BSU18180,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yodJ,BSU19620,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ybfG,BSU02200,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yrvJ,BSU27580,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ydhD,BSU05710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
floT,BSU31010,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
dynA,BSU22030,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
fabF,BSU11340,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
yuaF,BSU31020,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
floA,BSU25380,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
spoVG,BSU00490,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIC,BSU00620,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
dynA,BSU22030,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsH,BSU00690,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
disA,BSU00880,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsW,BSU14850,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsL,BSU15150,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIB,BSU15240,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsA,BSU15280,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsZ,BSU15290,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
sepF,BSU15390,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIVA,BSU15420,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
rasP,BSU16560,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
yneA,BSU17860,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
gpsB,BSU22180,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minD,BSU27990,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minC,BSU28000,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
maf,BSU28050,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
zapA,BSU28610,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ezrA,BSU29610,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minJ,BSU35220,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
racA,BSU37030,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
noc,BSU40990,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
mciZ,BSUNA,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ugtP,BSU21920,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
walJ,BSU40370,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
refZ,BSU29630,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
yjoB,BSU12420,SW 1.1,Cellular processes,cell envelope and cell division,cell division/ based on similarity,NA,NA
ybxA,BSU01450,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ybaE,BSU01460,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ybaF,BSU01470,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuC,BSU01610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuB,BSU01620,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuA,BSU01630,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
skfE,BSU01950,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
skfF,BSU01960,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ycbN,BSU02570,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
natA,BSU02750,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
natB,BSU02760,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuA,BSU02850,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuC,BSU02860,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuB,BSU02870,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAA,BSU02980,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAB,BSU02990,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAC,BSU03000,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yckA,BSU03370,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yckB,BSU03380,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyC,BSU03590,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyB,BSU03600,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyA,BSU03610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclH,BSU03730,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclI,BSU03740,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclN,BSU03800,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclO,BSU03810,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclP,BSU03820,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclQ,BSU03830,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbA,BSU04390,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbJ,BSU04490,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbK,BSU04500,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
vmlR,BSU05610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydiF,BSU05950,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesO,BSU06970,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesP,BSU06980,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesQ,BSU06990,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplA,BSU07100,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplB,BSU07110,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplC,BSU07120,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmR,BSU07370,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmM,BSU07420,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmF,BSU07490,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmD,BSU07510,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmC,BSU07520,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiB,BSU08210,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiC,BSU08220,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiL,BSU08310,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiM,BSU08320,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiN,BSU08330,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiY,BSU08440,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiZ,BSU08450,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfhA,BSU08460,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ygaD,BSU08690,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuB,BSU08830,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuA,BSU08840,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuC,BSU08850,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcE,BSU09050,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcG,BSU09070,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcH,BSU09080,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcI,BSU09090,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcJ,BSU09110,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
bmrC,BSU09710,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
bmrD,BSU09720,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhaQ,BSU09890,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhaP,BSU09900,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ecsA,BSU10040,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ecsB,BSU10050,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhfQ,BSU10330,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhjP,BSU10590,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
appD,BSU11360,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
appF,BSU11370,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
appA/1,BSU11381,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
appA/2,BSU11382,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
appB,BSU11390,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
