"","gene_id.uniref90","gene_id.ko","gene_description","module","sheet","header","subheader","potential_amg","strain","dan.source","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","uniprot.source","FinalID"
"45","A7GRZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GRZ1","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl Bcer98_2665",2,"Acyltransferase;Sporulation;Transferase","17434157","","bcy:Bcer98_2665;","ENOG502Z8C5;","WP_012095121.1;","","","1845399at2;","PF20085;","IPR020916;","","","ML","A7GRZ1"
"46","A7GS97",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GS97","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Bcer98_2772",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17434157","","bcy:Bcer98_2772;","COG2172;","WP_012095231.1;","","","9768808at2;","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A7GS97"
"47","A7GTL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GTL2","reviewed","Small, acid-soluble spore protein I (SASP I)","sspI Bcer98_3251",1,"Sporulation","17434157","","bcy:Bcer98_3251;","ENOG5032YQ7;","WP_012095709.1;","","","2453696at2;","PF14098;","IPR017525;","","","ML","A7GTL2"
"48","A7GUR8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GUR8","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI Bcer98_3679",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17434157","","bcy:Bcer98_3679;","COG0696;","WP_012096133.1;","","","9800863at2;","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;","ML","A7GUR8"
"49","A7MAQ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7MAQ5","unreviewed","YodU","yodU",1,"","12101298; 16980498","","","","","","","","PF02719;","IPR036291;IPR003869;","","","ML","A7MAQ5"
"50","A7Z0H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z0H2","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG RBAM_000580",2,"Cell cycle;Cell division;Septation;Sporulation","17704766","","bay:RBAM_000580;","","WP_004264660.1;","","","","PF04026;","IPR007170;IPR036751;","","","ML","A7Z0H2"
"51","A7Z2J3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z2J3","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH RBAM_008350",2,"Sporulation","17704766","","bay:RBAM_008350;","","WP_003155535.1;","","","","PF08141;","IPR012610;","","","ML","A7Z2J3"
"52","A7Z2M2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z2M2","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK RBAM_008640",2,"Sporulation","17704766","","bay:RBAM_008640;","","WP_003155495.1;","","","","PF08176;","IPR012611;","","","ML","A7Z2M2"
"53","A7Z311",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z311","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr RBAM_010230",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17704766","","bay:RBAM_010230;","","WP_003155240.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A7Z311"
"54","A7Z565",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z565","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP RBAM_017780",2,"Sporulation","17704766","","bay:RBAM_017780;","","WP_003153984.1;","","","","PF08179;","IPR012614;","","","ML","A7Z565"
"55","A7Z566",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z566","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO RBAM_017790",2,"Sporulation","17704766","","bay:RBAM_017790;","","WP_003153982.1;","","","","PF08175;","IPR012613;","","","ML","A7Z566"
"56","A7Z570",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z570","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN RBAM_017830",2,"Sporulation","17704766","","bay:RBAM_017830;","","WP_003153977.1;","","","","PF08177;","IPR012612;","","","ML","A7Z570"
"57","A7Z571",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z571","reviewed","Small, acid-soluble spore protein Tlp","tlp RBAM_017840",2,"Sporulation","17704766","","bay:RBAM_017840;","","WP_007410320.1;","","","","PF19824;","IPR017524;","","","ML","A7Z571"
"58","A7Z692",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z692","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB RBAM_021570",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17704766","","bay:RBAM_021570;","","WP_012117895.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A7Z692"
"59","A7Z7F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z7F5","reviewed","Small, acid-soluble spore protein I (SASP I)","sspI RBAM_025730",1,"Sporulation","17704766","","bay:RBAM_025730;","","WP_003152527.1;","","","","PF14098;","IPR017525;","","","ML","A7Z7F5"
"60","A7Z8Y2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7Z8Y2","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI RBAM_031270",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17704766","","bay:RBAM_031270;","","WP_012118484.1;","","","","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;","ML","A7Z8Y2"
"61","A8F916",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8F916","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG BPUM_0033",2,"Cell cycle;Cell division;Septation;Sporulation","17895969","","bpu:BPUM_0033;","COG2088;","WP_008357439.1;","","","9796286at2;","PF04026;","IPR007170;IPR036751;","","","ML","A8F916"
"62","A8FB65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FB65","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK BPUM_0798",2,"Sporulation","17895969","","bpu:BPUM_0798;","","WP_003217849.1;","","","2382188at2;","PF08176;","IPR012611;","","","ML","A8FB65"
"63","A8FBL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FBL1","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BPUM_0944",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17895969","","bpu:BPUM_0944;","COG1846;","WP_012009452.1;","","","2393954at2;","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A8FBL1"
"64","A8FDQ8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FDQ8","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP BPUM_1697",2,"Sporulation","17895969","","bpu:BPUM_1697;","ENOG5032ZXB;","WP_012010105.1;","","","2691914at2;","PF08179;","IPR012614;","","","ML","A8FDQ8"
"65","A8FDQ9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FDQ9","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO BPUM_1698",2,"Sporulation","17895969","","bpu:BPUM_1698;","","WP_012010106.1;","","","2692139at2;","PF08175;","IPR012613;","","","ML","A8FDQ9"
"66","A8FDR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FDR3","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN BPUM_1702",2,"Sporulation","17895969","","bpu:BPUM_1702;","","","","","2455637at2;","PF08177;","IPR012612;","","","ML","A8FDR3"
"67","A8FDR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FDR4","reviewed","Small, acid-soluble spore protein Tlp","tlp BPUM_1703",1,"Sporulation","17895969","","bpu:BPUM_1703;","ENOG50330RR;","WP_012010110.1;","","","1799076at2;","PF19824;","IPR017524;","","","ML","A8FDR4"
"68","A8FET0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FET0","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BPUM_2077",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17895969","","bpu:BPUM_2077;","COG2172;","WP_012010447.1;","","","9768808at2;","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A8FET0"
"69","A8FGT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FGT0","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl BPUM_2792",2,"Acyltransferase;Sporulation;Transferase","17895969","","bpu:BPUM_2792;","ENOG502Z8C5;","WP_012011070.1;","","","1845399at2;","PF20085;","IPR020916;","","","ML","A8FGT0"
"70","A8FHJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8FHJ1","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI BPUM_3054",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17895969","","bpu:BPUM_3054;","COG0696;","WP_012011301.1;","","","9800863at2;","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;","ML","A8FHJ1"
"71","A9VFH8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A9VFH8","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BcerKBAB4_3904",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17434157","","bwe:BcerKBAB4_3904;","COG2172;","WP_001243400.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A9VFH8"
"72","A9VI69",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A9VI69","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BcerKBAB4_0960",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17434157","","bwe:BcerKBAB4_0960;","COG1846;","WP_002011118.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A9VI69"
