gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0014	6770	6669	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.1362500813844542	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0015	6774	7847	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-872475000240.3079	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0016	7966	8091	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.0668553056239736	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0017	8341	8102	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-5.87434026372804	5749	63.0	0.548	1.269e-11	MG099946_p34	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	5749	PHANOTATE_1.5.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0018	8362	8928	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-157963.0636011232	36924	310.0	0.89	5.658e-99	p341714 VI_05047	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	36924	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0019	9028	10743	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1.4040131192317424e+17	16816	1024.0	0.856	0.0	p53076 VI_05150	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	16816	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0020	10764	11249	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-238253.902193127	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0021	11313	11891	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-4622598.134796157	25556	414.0	1.0	2.74e-134	NC_001884_p11	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	25556	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0022	11900	12460	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1390544.6827049113	1249	69.0	0.317	1.317e-15	NC_028770_p48	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	1249	PHANOTATE_1.5.1	CDS	#838383	acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0023	12692	12558	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.1665810733575442	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0024	12855	12739	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1.971277060354144	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0025	12878	12967	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-5.211751061682329	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0026	13086	13553	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-26849.990054569527	35721	391.0	1.0	5.58e-127	NC_001884_p13	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	35721	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0027	13559	13915	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-114.26370702564192	27254	282.0	1.0	4.651e-90	NC_001884_p14	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	27254	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0028	14245	13958	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-4095.2972586789065	23288	227.0	1.0	5.3350000000000005e-71	NC_001884_p15	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	23288	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0029	14357	14214	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-17.11495759486781	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0030	14492	14364	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.6453365271113168	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0031	14467	14799	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-8987.897871478135	3352	135.0	0.616	3.957e-39	p385367 VI_05048	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	3352	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0032	14792	16042	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-29882461918.025692	1268	370.0	0.495	6.582000000000001e-115	p9287 VI_06867	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	1268	PHANOTATE_1.5.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0033	16105	16461	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-27225.854392920213	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0034	16454	16582	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.3322143230405402	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0035	16639	16788	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-6.304985669801245	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0036	16758	16928	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-59.458874369440714	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0037	16980	19103	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-6.783069565863635e+19	2392	491.0	0.408	2.247e-151	p58017 VI_07050	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	2392	PHANOTATE_1.5.1	CDS	#ff59f5	ABC transporter	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0038	19100	19513	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1152441.0267876324	22	53.0	0.34	1.04e-10	KX925554_p168	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	22	PHANOTATE_1.5.1	CDS	#ffdf59	thioredoxin domain	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0039	19513	20781	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-2953935264160080.0	13126	355.0	0.553	2.0370000000000003e-109	NC_022096_p214	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	13126	PHANOTATE_1.5.1	CDS	#ff59f5	beta-1,4-glycosyltransferase	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0040	20778	21224	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1116.1226263853964	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0041	21546	21280	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-132.02742410463404	263	71.0	0.468	1.587e-17	KC595511_p53	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	263	PHANOTATE_1.5.1	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0042	21769	21557	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-877.8960371918979	2429	92.0	0.668	9.757e-25	KY821088_p25	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	2429	PHANOTATE_1.5.1	CDS	#ff59f5	involved in bacteriocin production or immunity	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0043	21873	21754	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.9031160200716044	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	22960	21857	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-28572917.34327909	2338	254.0	0.389	3.097e-75	MF001361_p94	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	2338	PHANOTATE_1.5.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0045	23198	22980	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-13.822726207220535	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0046	24012	23188	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-7963789.349323091	681	77.0	0.277	2.31e-16	KY683735_p127	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	681	PHANOTATE_1.5.1	CDS	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0047	24006	24155	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.6879738000143387	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0048	26116	24182	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-192781718565196.1	31144	1601.0	1.0	0.0	KY030782_p20	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	31144	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0049	26881	26153	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-188129.5617174061	11315	354.0	0.679	1.086e-109	p148126 VI_05341	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	11315	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0050	29617	26990	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-9.430708680721672e+20	6211	464.0	0.493	9.746999999999999e-145	NC_029048_p40	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	6211	PHANOTATE_1.5.1	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0051	30387	29629	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-261548684.77516985	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
