target	query	e-value	score	length	start	end	hmmDB
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_19	TIGR02126	9.6e-48	158.2	178	4	136	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_2	TIGR01547	8.6e-42	140.3	373	5	362	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_23	TIGR01633	6.1e-41	131.0	254	13	137	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_30	TIGR02883	1e-25	84.0	272	3	178	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_31	TIGR01592	1.6e-38	127.3	83	3	80	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_47	TIGR03033	5.6e-26	86.3	312	10	175	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_51	TIGR00616	2.8e-124	410.1	288	1	248	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_52	TIGR00621	3.2e-29	98.9	160	1	159	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_58	TIGR02220	8e-35	115.8	257	154	235	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_6	TIGR01538	5.6e-192	634.8	504	28	465	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_60	TIGR00665	1e-126	419.7	443	11	436	TIGRFAM
NC_011048.1_Bacillus_phage_phi29_complete_genome_18	TIGR01593	4.9e-38	126.5	132	4	130	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_101	TIGR00665	1.8e-22	75.8	457	12	435	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_108	TIGR00618	3.3e-33	76.9	638	1	267	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_110	TIGR00576	1.6e-20	67.8	172	30	162	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_124	TIGR03739	8.8e-24	80.4	340	6	334	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_128	TIGR03283	1.2e-24	81.4	384	11	230	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_133	TIGR00593	1.4e-27	60.9	610	495	597	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_133	TIGR00758	3e-31	104.3	610	8	169	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_135	TIGR00593	2.2e-65	217.9	306	9	250	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_143	TIGR00593	2e-54	181.7	315	3	233	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_145	TIGR02779	7e-25	80.4	424	150	388	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_160	TIGR01073	3.4e-141	175.8	979	30	292	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_160	TIGR01073	3.4e-141	292.0	979	565	954	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_50	TIGR02937	5.6e-19	63.9	232	45	224	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_59	TIGR02506	6.8e-159	523.3	757	131	744	TIGRFAM
NC_011421.1_Bacillus_phage_SPO1_complete_genome_60	TIGR04171	3.9e-43	144.2	347	30	344	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_122	TIGR02980	2.4e-28	93.9	237	13	226	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_134	TIGR00577	2.7e-54	180.8	275	1	273	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_169	TIGR00665	5.6e-26	87.5	485	13	416	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_171	TIGR00618	2e-32	68.9	668	1	513	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_174	TIGR00576	8.1e-26	86.6	204	82	200	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_177	TIGR00333	6.2e-36	119.6	123	3	109	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_178	TIGR04170	0.0	1118.5	701	9	700	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_179	TIGR04171	1.5e-142	470.8	368	45	362	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_190	TIGR03283	6.8e-25	83.5	383	9	229	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_193	TIGR00758	2.1e-21	71.9	895	8	166	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_193	TIGR00593	2.1e-104	308.1	895	470	856	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_197	TIGR02012	2.7e-90	299.3	348	37	343	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_198	TIGR00593	1.6e-49	158.9	322	3	316	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_200	TIGR02779	1.3e-22	75.3	424	162	378	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_73	TIGR01322	8.3e-49	162.7	482	2	450	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_88	TIGR03073	4.5e-40	104.8	503	214	495	TIGRFAM
NC_019487.1_Bacillus_phage_SP10_complete_genome_93	TIGR02571	1.4e-49	164.3	142	2	136	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_113	TIGR02571	5e-27	64.2	177	98	172	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_114	TIGR04171	3.2e-129	427.1	350	13	331	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_115	TIGR04170	8.7e-289	956.1	699	3	698	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_116	TIGR00333	4.3e-19	65.2	140	3	116	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_120	TIGR02348	5.5e-62	205.8	563	10	557	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_142	TIGR03830	4.4e-24	81.2	123	6	117	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_204	TIGR02869	1.9e-44	148.4	215	84	213	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_208	TIGR01059	7.2e-160	529.9	768	10	766	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_231	TIGR01063	1.5e-138	459.4	701	3	695	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_27	TIGR02464	6.5e-23	77.5	140	11	138	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_279	TIGR02013	3.5e-30	74.8	666	352	546	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_286	TIGR00575	1.6e-80	267.4	682	30	674	TIGRFAM
NC_043027.1_Bacillus_virus_PBS1_complete_genome_43	TIGR02386	6.2e-27	86.8	632	183	566	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_10	TIGR03921	1.5e-57	191.7	327	42	269	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_106	TIGR00333	1.2e-41	138.2	123	3	117	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_107	TIGR04170	0.0	1163.5	700	7	699	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_110	TIGR04171	6e-141	465.6	328	7	323	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_119	TIGR00593	5.4e-74	232.9	1102	698	1010	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_122	TIGR02012	7.4e-42	139.5	404	47	313	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_150	TIGR02937	7.1e-28	74.0	344	25	245	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_171	TIGR03928	5.6e-33	108.7	754	383	601	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_32	TIGR03284	3.3e-121	400.4	312	7	301	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_58	TIGR01537	1.8e-18	62.8	550	158	460	TIGRFAM
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_97	TIGR00618	7e-32	78.9	633	1	272	TIGRFAM
NC_049976.1_Bacillus_phage_Nf_complete_genome_18	TIGR01593	3.3e-31	104.4	133	5	131	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_1	pVOG7155	1.2e-50	166.4	102	1	99	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_100	pVOG7753	3.2e-112	368.9	182	1	181	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_101	pVOG4575	1.3e-72	241.6	365	1	362	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_102	pVOG7754	1.3e-57	189.9	99	1	98	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_103	pVOG1962	7.2e-20	62.6	73	17	69	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_104	pVOG10066	3.2e-63	206.9	103	1	102	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_106	pVOG0083	1e-134	447.1	638	1	631	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_107	pVOG4551	1.5e-39	133.4	345	18	328	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_108	pVOG0085	7.3e-25	84.1	172	7	163	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_109	pVOG7029	5.2e-49	161.7	111	1	110	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_11	pVOG7027	8.9e-110	362.5	237	4	236	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_110	pVOG0086	3.3e-56	186.5	174	4	168	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_111	pVOG7234	1.9e-100	331.7	209	1	208	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_112	pVOG7030	1.7e-45	149.3	89	1	88	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_113	pVOG7031	1.7e-122	403.9	226	1	223	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_114	pVOG7032	2.3e-76	251.8	156	1	155	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_115	pVOG7755	1.1e-122	405.4	286	1	285	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_116	pVOG3237	5e-126	416.0	275	2	273	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_117	pVOG0100	0.0	1090.2	907	2	859	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_118	pVOG7756	4.1e-35	116.1	74	3	62	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_12	pVOG8931	2.1e-57	188.2	100	1	99	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_120	pVOG7757	7.9e-29	95.7	49	6	48	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_121	pVOG7758	6.8e-76	249.7	165	20	164	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_122	pVOG1013	1.2e-101	336.7	340	2	338	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_123	pVOG5460	7.7e-62	204.2	148	1	147	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_124	pVOG8591	3.4e-31	103.5	54	1	53	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_126	pVOG0092	1.2e-56	188.3	384	8	232	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_129	pVOG7033	4.3e-112	369.5	227	1	226	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_13	pVOG7009	1.6e-33	111.3	77	1	75	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_130	pVOG0094	1e-25	86.8	100	1	95	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_131	pVOG0026	1.1e-43	146.4	610	209	597	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_132	pVOG10904	3.2e-18	61.9	186	3	171	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_133	pVOG0026	8.3e-69	229.3	306	1	250	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_135	pVOG7034	7.4e-31	101.9	57	2	56	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_136	pVOG0499	1.1e-40	136.9	330	3	315	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_137	pVOG10984	9.5e-56	183.0	101	1	100	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_138	pVOG6239	3.6e-87	288.1	195	1	193	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_141	pVOG10936	1e-27	92.9	73	3	65	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_142	pVOG0028	7.4e-41	136.7	316	2	270	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_144	pVOG0018	8e-69	228.9	424	20	423	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_145	pVOG6523	6.7e-46	151.4	102	1	99	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_146	pVOG0098	3.7e-43	144.2	198	14	184	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_147	pVOG8592	9.7e-64	209.4	126	1	119	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_148	pVOG5914	1.9e-17	60.3	44	1	42	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_149	pVOG7760	1.3e-40	134.0	84	5	81	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_150	pVOG0101	1.7e-77	256.0	207	1	204	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_151	pVOG7761	6e-64	201.2	162	1	127	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_154	pVOG6517	1.2e-51	170.8	130	2	129	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_155	pVOG3238	7.6e-36	118.5	81	1	80	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_156	pVOG9761	5.4e-33	109.6	50	1	49	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_159	pVOG3239	3.9e-104	148.5	979	36	292	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_159	pVOG3239	3.9e-104	198.9	979	566	920	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_160	pVOG10067	1e-108	357.6	182	1	181	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_162	pVOG5140	8.1e-37	123.7	135	3	128	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_163	pVOG7762	6.1e-53	174.6	118	6	117	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_164	pVOG7763	1.7e-40	133.9	77	1	76	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_166	pVOG4585	1.5e-24	83.0	182	33	151	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_17	pVOG7156	1.1e-79	261.7	132	1	131	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_171	pVOG0047	7.4e-35	116.0	97	1	90	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_174	pVOG10068	2.8e-45	149.0	92	1	91	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_176	pVOG8932	1.3e-33	111.6	63	1	57	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_177	pVOG6060	6e-42	138.6	90	1	88	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_178	pVOG10945	1.2e-61	202.2	104	1	103	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_182	pVOG1183	9.6e-29	96.7	94	1	92	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_188	pVOG7155	1.2e-50	166.4	102	1	99	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_189	pVOG0043	3e-70	230.2	227	4	216	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_198	pVOG7027	8.9e-110	362.5	237	4	236	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_199	pVOG8931	2.1e-57	188.2	100	1	99	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_2	pVOG0043	3e-70	230.2	227	4	216	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_200	pVOG7009	1.6e-33	111.3	77	1	75	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_204	pVOG7156	1.1e-79	261.7	132	1	131	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_27	pVOG7028	1.3e-171	567.5	363	1	362	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_29	pVOG10062	5.6e-61	199.6	103	1	102	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_32	pVOG8588	4.3e-41	132.1	85	1	84	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_35	pVOG10063	1.8e-69	227.9	120	1	119	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_36	pVOG8589	2.1e-43	144.1	104	1	100	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_40	pVOG4731	2.8e-20	68.9	97	1	94	PVOG
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_41	pVOG5763	8.9e-42	139.3	123	1	122	PVOG
