qseqid	sseqid	qlen	slen	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|P52968|SAS1_SPOUR	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	69	72	69.492	59	18	0	8	66	11	69	4.08E-24	81.6
sp|P33658|RPSG_CLOAB	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	257	343	26.613	248	172	6	14	255	2	245	4.18E-22	89
sp|P07860|RPSF_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	255	343	29.289	239	151	6	9	236	2	233	5.35E-22	88.6
sp|O34391|XLYB_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	317	343	62.5	64	23	1	255	317	272	335	7.83E-22	89.7
sp|O34391|XLYB_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	317	343	62.5	64	23	1	255	317	272	335	7.83E-22	89.7
sp|P24808|CWLA_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	272	343	66.154	65	21	1	209	272	272	336	1.25E-21	88.2
sp|P24808|CWLA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	272	343	66.154	65	21	1	209	272	272	336	1.25E-21	88.2
sp|P04833|SSPD_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	64	72	57.895	57	24	0	5	61	13	69	2.08E-20	72
sp|P26764|RPSF_BACLI	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	255	343	28.632	234	149	6	14	236	7	233	4.58E-20	83.2
sp|P35145|RPSF_PRIMG	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	253	343	27.311	238	147	6	14	236	7	233	4.90E-20	83.2
sp|P14892|CWLA_BACSP	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	251	360	36.306	157	87	6	1	150	2	152	1.90E-19	81.6
sp|P10572|SAS3_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	65	72	56.897	58	25	0	4	61	12	69	3.21E-19	68.9
sp|P39800|XLYA_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	297	343	63.934	61	21	1	237	296	275	335	3.69E-19	81.6
sp|P39800|XLYA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	297	343	63.934	61	21	1	237	296	275	335	3.69E-19	81.6
sp|P19940|RPSG_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	260	343	28	250	163	9	14	254	2	243	2.39E-18	78.6
sp|P54450|CWLH_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	250	343	56.061	66	28	1	186	250	271	336	2.92E-18	78.2
sp|P54450|CWLH_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	250	343	56.061	66	28	1	186	250	271	336	2.92E-18	78.2
sp|P22065|SAS1_PARBF	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	70	72	47.761	67	30	1	2	68	9	70	7.78E-17	63.2
sp|P24808|CWLA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	272	360	36.154	130	72	5	27	151	27	150	1.91E-16	73.6
sp|P26764|RPSF_BACLI	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	255	229	28.571	224	139	5	37	250	15	227	2.62E-16	71.2
sp|P33658|RPSG_CLOAB	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	257	236	28.384	229	136	11	40	253	13	228	3.77E-16	70.9
sp|O34391|XLYB_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	317	360	32.5	160	93	6	3	153	2	155	1.82E-15	71.2
sp|P07860|RPSF_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	255	229	27.679	224	141	5	37	250	15	227	4.20E-15	67.8
sp|P33658|RPSG_CLOAB	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	257	229	28.372	215	131	5	40	244	13	214	5.02E-15	67.8
sp|P35145|RPSF_PRIMG	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	253	229	28.638	213	127	7	37	237	15	214	9.29E-15	67
sp|O34398|LIGD_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0169	611	265	25.18	278	170	8	22	296	18	260	2.03E-14	68.9
sp|P19940|RPSG_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	260	229	30.702	228	124	10	41	253	13	221	3.20E-14	65.5
sp|P19940|RPSG_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	260	236	30	220	129	9	43	254	26	228	3.61E-14	65.5
sp|P35145|RPSF_PRIMG	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	253	236	26.606	218	129	9	47	245	21	226	3.16E-13	62.8
sp|P42065|APPF_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0037	329	707	26.994	163	102	4	36	192	501	652	7.91E-13	64.3
sp|P07860|RPSF_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	255	236	26.432	227	138	8	35	245	13	226	1.16E-12	61.2
sp|P26764|RPSF_BACLI	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	255	236	25.551	227	149	6	35	249	13	231	1.50E-12	60.8
sp|P39800|XLYA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	297	367	30.46	174	93	7	8	155	8	179	1.79E-12	62.4
sp|P24137|OPPF_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0037	305	707	25	164	105	6	25	182	501	652	1.85E-12	62.8
sp|P22066|SAS2_PARBF	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	64	72	46.667	60	25	2	6	64	17	70	2.61E-12	51.6
sp|P42249|CWLJ_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	142	214	34.375	128	70	7	4	127	95	212	3.12E-12	57
sp|O34391|XLYB_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	317	390	59.184	49	20	0	173	221	224	272	3.93E-11	58.5
sp|P62181|RP28_BACTK	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	237	265	26.882	186	119	6	52	232	88	261	1.14E-10	55.5
sp|P62180|RP28_BACCR	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	237	265	26.882	186	119	6	52	232	88	261	1.14E-10	55.5
sp|P62182|RP28_BACAN	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	237	265	26.882	186	119	6	52	232	88	261	1.14E-10	55.5
sp|P54450|CWLH_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	250	367	25.294	170	107	5	1	152	1	168	2.52E-10	55.1
sp|P39800|XLYA_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	297	390	57.447	47	20	0	158	204	227	273	3.01E-10	55.5
sp|P62181|RP28_BACTK	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	237	265	26.344	186	120	6	52	232	88	261	4.73E-10	53.5
sp|P62180|RP28_BACCR	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	237	265	26.344	186	120	6	52	232	88	261	4.73E-10	53.5
sp|P62182|RP28_BACAN	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	237	265	26.344	186	120	6	52	232	88	261	4.73E-10	53.5
sp|P62179|RP35_BACTK	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	239	229	36.486	74	45	1	83	156	42	113	5.60E-10	53.1
sp|P62177|RP35_BACAN	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	239	229	36.486	74	45	1	83	156	42	113	5.60E-10	53.1
sp|P62178|RP35_BACCR	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	239	229	36.486	74	45	1	83	156	42	113	5.60E-10	53.1
sp|P21887|SAS2_CLOPE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	60	72	40	55	30	1	5	59	16	67	6.13E-10	45.4
sp|P12254|RPSK_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	294	236	26.724	232	123	8	55	267	15	218	8.87E-10	53.1
sp|P24808|CWLA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	272	367	30	160	90	6	29	170	28	183	1.12E-09	53.5
sp|P14892|CWLA_BACSP	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	251	367	29.508	183	101	7	8	173	9	180	1.31E-09	52.8
sp|P19940|RPSG_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	260	265	24.904	261	134	9	1	246	35	248	1.80E-09	52.4
sp|P33657|RPSE_CLOAB	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	235	343	34.568	81	52	1	35	114	7	87	1.81E-09	52.4
sp|P33657|RPSE_CLOAB	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	235	229	38.889	72	42	1	81	152	44	113	2.42E-09	51.2
sp|O34391|XLYB_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	317	390	46.154	52	28	0	179	230	291	342	3.51E-09	52.4
sp|P06222|RPSE_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	239	343	30.108	93	64	1	39	130	7	99	4.11E-09	51.2
sp|P33657|RPSE_CLOAB	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	235	236	26.596	188	91	6	81	226	44	226	4.92E-09	50.4
sp|P06222|RPSE_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	239	236	27.128	188	90	7	85	230	44	226	5.05E-09	50.4
sp|P24136|OPPD_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0037	358	707	25.521	192	127	7	27	218	501	676	5.09E-09	52.8
sp|O32130|LYTH_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0052	326	2285	33.333	114	62	6	204	316	1580	1680	5.54E-09	52.8
sp|Q03415|ENP1_LYSSH	NC_011048.1_Bacillus_phage_phi29_complete_genome_CDS_0024	396	258	29.032	93	64	2	5	95	165	257	5.90E-09	51.6
sp|P06222|RPSE_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0265	239	229	33.01	103	64	3	83	185	42	139	6.32E-09	50.1
sp|P62179|RP35_BACTK	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	239	236	27.66	188	89	7	85	230	44	226	1.54E-08	48.9
sp|P62177|RP35_BACAN	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	239	236	27.66	188	89	7	85	230	44	226	1.54E-08	48.9
sp|P62178|RP35_BACCR	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	239	236	27.66	188	89	7	85	230	44	226	1.54E-08	48.9
sp|O31982|BLYA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	367	360	29.775	178	91	11	28	199	29	178	1.94E-08	50.4
sp|P59104|CWLJ_OCEIH	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	141	214	33.945	109	61	5	4	110	95	194	1.95E-08	46.6
sp|P62179|RP35_BACTK	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	239	343	32.099	81	54	1	39	118	7	87	2.15E-08	48.9
sp|P62177|RP35_BACAN	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	239	343	32.099	81	54	1	39	118	7	87	2.15E-08	48.9
sp|P62178|RP35_BACCR	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	239	343	32.099	81	54	1	39	118	7	87	2.15E-08	48.9
sp|O34391|XLYB_BACSU	NC_011048.1_Bacillus_phage_phi29_complete_genome_CDS_0024	317	258	51.923	52	23	2	172	221	206	257	2.34E-08	49.3
sp|P33658|RPSG_CLOAB	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	257	265	25	208	104	7	42	245	89	248	2.42E-08	48.9
sp|P41371|SAS0_CLOPE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	60	72	41.667	48	25	1	5	52	16	60	2.81E-08	41.2
sp|Q9K6A3|CWLJ_HALH5	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	143	214	30.769	104	65	3	4	107	95	191	3.12E-08	45.8
sp|P71044|SP2Q_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0052	283	2285	32.773	119	75	3	120	237	1581	1695	3.17E-08	49.7
sp|P62181|RP28_BACTK	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	237	236	25.909	220	88	8	53	213	15	218	3.98E-08	47.8
sp|P62180|RP28_BACCR	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	237	236	25.909	220	88	8	53	213	15	218	3.98E-08	47.8
sp|P62182|RP28_BACAN	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0133	237	236	25.909	220	88	8	53	213	15	218	3.98E-08	47.8
sp|P21886|SAS1_CLOPE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	59	72	39.583	48	26	1	5	52	16	60	5.15E-08	40.4
sp|P55339|ECSA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0037	247	707	25.641	156	108	3	18	167	500	653	5.85E-08	48.1
sp|P33658|RPSG_CLOAB	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	257	265	25	208	104	7	42	245	89	248	6.41E-08	47.4
sp|P19940|RPSG_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	260	265	24.79	238	123	7	19	246	57	248	6.71E-08	47.4
sp|P62179|RP35_BACTK	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	239	265	27.027	148	105	1	85	232	113	257	7.81E-08	47
sp|P62177|RP35_BACAN	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	239	265	27.027	148	105	1	85	232	113	257	7.81E-08	47
sp|P62178|RP35_BACCR	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	239	265	27.027	148	105	1	85	232	113	257	7.81E-08	47
sp|O05495|YDHD_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	420	390	29.592	98	59	2	6	93	293	390	7.89E-08	48.9
sp|P39800|XLYA_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	297	390	44.444	54	30	0	161	214	291	344	8.81E-08	48.1
sp|P39800|XLYA_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	297	390	46.667	45	24	0	159	203	345	389	1.30E-07	47.4
sp|O34391|XLYB_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	317	367	32.308	130	70	5	29	141	28	156	1.31E-07	47.8
sp|P54450|CWLH_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	250	343	55.556	36	16	0	211	246	206	241	1.32E-07	47
sp|P54450|CWLH_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	250	343	55.556	36	16	0	211	246	206	241	1.32E-07	47
sp|P39800|XLYA_BACSU	NC_011048.1_Bacillus_phage_phi29_complete_genome_CDS_0024	297	258	53.333	45	20	1	161	204	163	207	1.46E-07	47
sp|P24808|CWLA_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	272	343	52.778	36	17	0	233	268	206	241	1.49E-07	47
sp|P24808|CWLA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	272	343	52.778	36	17	0	233	268	206	241	1.49E-07	47
sp|P59105|SLEB_OCEIH	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	276	343	41.935	62	36	0	38	99	179	240	1.67E-07	47
sp|P59105|SLEB_OCEIH	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	276	343	41.935	62	36	0	38	99	179	240	1.67E-07	47
sp|O34391|XLYB_BACSU	NC_011048.1_Bacillus_phage_phi29_complete_genome_CDS_0024	317	258	44.068	59	30	2	178	235	162	218	1.72E-07	46.6
sp|P62181|RP28_BACTK	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	237	343	30.864	81	55	1	30	109	7	87	1.94E-07	46.2
sp|P62180|RP28_BACCR	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	237	343	30.864	81	55	1	30	109	7	87	1.94E-07	46.2
sp|P62182|RP28_BACAN	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	237	343	30.864	81	55	1	30	109	7	87	1.94E-07	46.2
sp|P12254|RPSK_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0186	294	343	34.177	79	48	2	37	111	9	87	2.56E-07	46.6
sp|Q9KCE0|SLEB_HALH5	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	330	343	39.683	63	38	0	35	97	179	241	2.63E-07	46.6
sp|Q9KCE0|SLEB_HALH5	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0131	330	343	39.683	63	38	0	35	97	179	241	2.63E-07	46.6
sp|P0A3V1|SLEB_BACCE	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0128	259	343	38.71	62	38	0	38	99	179	240	3.05E-07	45.8
