target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_23	Thioredoxin	GVOGm0047	GVDB	7.7e-22	74.2			19100	19513	3	134	131	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_24	peptide S-glycosyltransferase, SunS family	TIGR04195	TIGRFAM	9.3e-242	798.6		sunS	19513	20781	3	417	414	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_25	Disulfide bond formation protein DsbB	COG1495	COG	1.1e-35	120.4			20778	21224	6	144	138	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_26	holin, SPP1 family	TIGR01592	TIGRFAM	4.6e-37	122.6		xhlB	21280	21546	5	86	81	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_27	SPbeta prophage-derived protein BhlA	VOG64904	VOG	1.3e-34	114.7			21557	21769	1	70	69	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_28	endolysin	phrog_2338	PHROG	9.9e-74	150.9			21857	22960	5	192	187	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_29	SPbeta prophage-derived uncharacterized protein YomD	VOG71486	VOG	4.9e-145	479.7			23188	24012	1	274	273	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_30	hypothetical	phrog_31144	PHROG	0.0	1546.3			24182	26116	1	644	643	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_31	SPbeta prophage-derived uncharacterized protein YomF	VOG39832	VOG	1.3e-110	366.3			26153	26881	2	236	234	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_32	minor tail protein	pVOG5042	PVOG	0.0	1308.7			26990	29617	1	875	874	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_33	hypothetical protein	pVOG3389	PVOG	8.4e-101	333.7			29629	30387	1	252	251	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_34	tail length tape measure protein	phrog_4211	PHROG	0.0	2386.1			30438	37331	14	2295	2281	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_35	SPbeta prophage-derived uncharacterized membrane protein YomJ	VOG38213	VOG	1.8e-122	404.3			37349	38017	1	222	221	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_36	Hypothetical							38114	38560				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_37	Hypothetical							38906	39082				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_38	Hypothetical							39137	39793				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_39	Hypothetical							39927	40298				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_40	Site-specific recombinase XerD	COG4974	COG	2.5e-32	109.0			40301	41335	35	334	299	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_41	hypothetical	phrog_19892	PHROG	1.4e-82	271.1			41316	41744	5	142	137	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_42	SPbeta prophage-derived uncharacterized protein YomO	VOG41141	VOG	2.3e-87	287.8			41719	42219	1	166	165	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_43	SPbeta prophage-derived uncharacterized protein YomP	VOG35508	VOG	1.3e-40	133.6			42269	42460	1	63	62	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_44	SPbeta prophage-derived uncharacterized protein YomQ	VOG08388	VOG	1.2e-68	225.0			42457	42807	1	116	115	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_45	SPbeta prophage-derived uncharacterized protein YomR	VOG57895	VOG	2e-228	734.4			42818	44035	27	405	378	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_46	hypothetical	phrog_27434	PHROG	2.9e-78	256.2			44037	44393	1	118	117	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_47	hypothetical	phrog_26023	PHROG	8.1e-56	183.0			44457	44684	1	75	74	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_48	hypothetical	phrog_22551	PHROG	3.3e-117	386.0			44684	45193	1	169	168	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_49	virion structural protein	phrog_2729	PHROG	1.4e-77	257.1			45313	46110	1	261	260	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_50	SPbeta prophage-derived uncharacterized protein YomV	VOG55911	VOG	2e-124	145.7			46153	46863	1	87	86	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_51	SPbeta prophage-derived uncharacterized protein YomW	VOG64167	VOG	7.2e-105	344.7			46860	47366	1	168	167	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_52	hypothetical	phrog_24208	PHROG	1e-152	502.2			47363	48013	1	216	215	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_53	hypothetical	phrog_25075	PHROG	1.1e-58	191.8			47997	48251	1	84	83	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_54	SPbeta prophage-derived uncharacterized protein YomZ	VOG30224	VOG	8e-73	239.6			48248	48643	1	131	130	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_55	SPbeta prophage-derived uncharacterized protein YonA	VOG13417	VOG	5.4e-85	279.8			48658	49128	1	156	155	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_56	SPbeta prophage-derived uncharacterized protein YonB	VOG37567	VOG	5.1e-191	630.9			49164	50180	1	338	337	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_57	SPbeta prophage-derived uncharacterized protein YonC	VOG51179	VOG	1.3e-105	348.2			50219	50755	1	178	177	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_58	SPbeta prophage-derived uncharacterized protein YonD	VOG33903	VOG	8.3e-262	864.8			50780	52216	1	478	477	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_59	portal protein	pVOG5721	PVOG	5e-166	549.6			52247	53767	1	504	503	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_60	hypothetical	phrog_26582	PHROG	1.5e-80	266.9			53785	55554	251	579	328	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_61	hypothetical protein	pVOG5722	PVOG	2.5e-100	332.3			55541	56461	1	300	299	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_62	hypothetical	phrog_31869	PHROG	3e-118	388.0			56564	57064	1	166	165	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_63	hypothetical	phrog_28670	PHROG	3.2e-93	305.7			57283	57693	1	136	135	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_64	exonuclease	phrog_284	PHROG	7.4e-77	255.5			57727	58944	1	403	402	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_65	hypothetical	phrog_8651	PHROG	3.2e-33	110.5			58961	59152	1	63	62	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_66	Bacterial nucleoid DNA-binding protein IHF-alpha	COG0776	COG	1.5e-47	159.5			60834	61112	1	91	90	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_67	hypothetical	phrog_8308	PHROG	0.0	1217.0			61356	63875	8	817	809	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_68	hypothetical	phrog_20387	PHROG	1.5e-45	149.7			63915	64109	1	64	63	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_69	transcriptional regulator	phrog_8	PHROG	6.5e-24	81.4			65062	65388	1	100	99	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_70	hypothetical protein	pVOG8483	PVOG	1.6e-81	269.5			65503	66114	1	202	201	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_71	hypothetical	phrog_20584	PHROG	1.5e-37	123.9			66980	67168	1	53	52	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_72	hypothetical protein	pVOG9714	PVOG	7e-190	627.6			67250	68482	1	409	408	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_73	Hypothetical							68810	69316				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_74	Hypothetical							69664	70989				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_75	Putative toxin YopC	VOG11146	VOG	2.5e-257	850.6			71585	72913	1	440	439	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_76	Uncharacterised protein family (UPF0715)	PF17094	PFAM	4.5e-48	159.2		UPF0715	72971	73366	11	129	118	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_77	hypothetical	phrog_21020	PHROG	2.9e-56	184.4			73953	74204	1	83	82	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_78	hypothetical	phrog_20866	PHROG	1.5e-52	172.4			74208	74423	1	71	70	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_79	Super-infection exclusion protein B	PF14163	PFAM	1.5e-44	147.5		SieB	74550	75140	42	184	142	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_80	hypothetical	phrog_23349	PHROG	1.1e-87	288.7			75167	75700	1	177	176	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_81	Hypothetical							75702	76118				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_82	transcriptional regulator	pVOG1563	PVOG	4.4e-126	417.4			76295	77455	1	385	384	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_83	hypothetical	phrog_20687	PHROG	2.2e-31	104.3			77469	77594	1	41	40	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_84	hypothetical	phrog_23684	PHROG	5.4e-49	160.9			77921	78121	1	66	65	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_85	hypothetical	phrog_31968	PHROG	6.2e-72	235.0			78121	78441	2	106	104	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_86	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YopO	VOG13394	VOG	2.9e-36	120.8			78489	78701	1	70	69	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_87	Site-specific recombinase XerD	COG4974	COG	1.1e-31	106.7			78691	79767	43	305	262	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_88	hypothetical protein	pVOG8484	PVOG	8.7e-204	674.0			79874	81256	7	460	453	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_89	integrase	phrog_5830	PHROG	8.4e-118	389.6			81280	82257	1	316	315	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_90	Hypothetical							82446	82670				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_91	hypothetical	phrog_24087	PHROG	2.2e-52	171.7			82853	83071	1	72	71	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_92	hypothetical	phrog_26971	PHROG	5.8e-47	154.3			83450	83644	1	64	63	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_93	hypothetical	phrog_19476	PHROG	4.5e-76	248.7			83733	84068	1	111	110	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_94	YopX protein	PF09643	PFAM	4.2e-26	87.7		YopX	84065	84469	5	131	126	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_95	hypothetical	phrog_22862	PHROG	1.5e-64	210.9			84466	84744	1	92	91	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_96	hypothetical	phrog_22079	PHROG	4e-49	161.1			84770	84961	1	63	62	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_97	hypothetical	phrog_21095	PHROG	2.3e-77	252.6			84977	85324	1	115	114	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_98	hypothetical	phrog_19651	PHROG	6.7e-79	257.9			85321	85659	1	112	111	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_99	hypothetical	phrog_25201	PHROG	1.9e-94	309.3			85678	86073	1	131	130	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_100	anti-repressor Ant	phrog_63	PHROG	4.1e-59	197.0			86114	86869	4	245	241	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_101	hypothetical	phrog_23490	PHROG	6.6e-39	128.3			86923	87087	1	54	53	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_102	hypothetical	phrog_30949	PHROG	1e-52	172.7			87096	87299	1	67	66	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_103	hypothetical	phrog_27461	PHROG	8.1e-62	201.8			87323	87601	8	92	84	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_104	Hypothetical							87684	88136				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_105	Hypothetical							88185	88379				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_106	Uncharacterized SPBc2 prophage-derived protein YoqJ	COG4474	COG	1.3e-56	188.2			88479	89105	7	198	191	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_107	SPbeta prophage-derived putative HNH endonuclease YoqL	VOG70403	VOG	3e-116	384.1			89467	90060	2	197	195	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_108	Hypothetical							90042	90191				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_109	hypothetical	phrog_11880	PHROG	6.2e-22	74.7			90185	90472	4	94	90	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_110	hypothetical	phrog_18829	PHROG	1.8e-52	171.9			90664	90885	3	73	70	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_111	hypothetical protein	pVOG7245	PVOG	4.3e-41	136.1			91390	91731	1	113	112	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_112	hypothetical	phrog_32163	PHROG	2.8e-80	262.5			91670	92047	8	125	117	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_113	hypothetical	phrog_28179	PHROG	1e-77	254.4			92049	92396	1	115	114	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_114	hypothetical	phrog_14313	PHROG	1.6e-56	186.4			92788	93201	3	123	120	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_115	ATP-dependent DNA ligase	PRK07636.1	PGAP	3.1e-133	439.6			93267	94064	1	265	264	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_116	unannotated protein	pVOG3391	PVOG	4.6e-99	326.9			94149	94823	1	224	223	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_117	hypothetical	phrog_19340	PHROG	1.6e-52	172.4			94894	95115	1	73	72	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_118	hypothetical	phrog_25048	PHROG	1.1e-91	300.3			95170	95565	1	131	130	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_119	hypothetical protein	pVOG0101	PVOG	2.1e-96	317.7			95664	96488	65	269	204	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_120	SPbeta prophage-derived uncharacterized protein YorA	VOG50411	VOG	2.5e-260	861.1			96485	98245	5	584	579	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_121	hypothetical	phrog_25134	PHROG	2.8e-64	210.5			98334	98630	1	98	97	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_122	hypothetical	phrog_20815	PHROG	4.6e-88	288.3			98693	99073	1	126	125	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_123	Hypothetical							99150	99464				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_124	SPbeta prophage-derived uncharacterized protein YorE	VOG07570	VOG	1.1e-71	235.1			99638	100009	1	123	122	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_125	hypothetical protein	pVOG6211	PVOG	2.2e-99	329.3			100031	100945	5	304	299	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_126	SPbeta prophage-derived uncharacterized protein YorG	VOG69654	VOG	5.2e-189	623.9			101028	101999	1	323	322	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_127	unannotated protein	pVOG7476	PVOG	4e-67	221.8			102042	102512	1	155	154	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_128	DnaB-like replicative helicase	phrog_19	PHROG	6.7e-54	179.7			102527	104041	3	484	481	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_129	hypothetical protein	PRK08624.1	PGAP	9.3e-194	639.8			104057	105193	2	377	375	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_130	RecJ-like ssDNA exonuclease	phrog_2484	PHROG	2e-205	680.0			105193	106923	2	576	574	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_131	DNA polymerase	pVOG1198	PVOG	2.7e-304	1008.7			106936	110853	2	1295	1293	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_132	hypothetical	phrog_18207	PHROG	1.8e-139	459.8			110938	111597	1	219	218	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_133	hypothetical	phrog_21730	PHROG	4.3e-42	138.5			111704	111862	1	52	51	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_134	hypothetical	phrog_19862	PHROG	6.5e-46	151.0			111898	112095	8	65	57	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_135	YorP protein	PF09629	PFAM	2.9e-55	181.0		YorP	112107	112343	8	78	70	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_136	hypothetical	phrog_18253	PHROG	4.6e-37	122.7			112336	112491	1	51	50	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_137	SPbeta prophage-derived uncharacterized protein YorR	pVOG9220	PVOG	2.5e-78	258.3			112491	112988	1	165	164	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_138	Putative 5'(3')-deoxyribonucleotidase	VOG70594	VOG	6.6e-101	332.9			112997	113515	1	172	171	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_139	Orphan methyltransferase M.SPRI	VOG71122	VOG	9.1e-249	822.5			113715	115046	1	443	442	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_140	hypothetical	phrog_21689	PHROG	2.9e-51	168.1			115024	115308	23	94	71	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_141	hypothetical	phrog_20314	PHROG	5.4e-84	274.8			115311	115676	1	121	120	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_142	hypothetical	phrog_20499	PHROG	5.7e-54	177.3			115716	115943	1	75	74	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_143	hypothetical	phrog_16644	PHROG	1.7e-41	136.6			116205	116417	1	70	69	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_144	hypothetical	phrog_36768	PHROG	1.6e-46	152.9			116771	116950	1	59	58	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_145	Hypothetical							116995	117537				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_146	hypothetical	phrog_19492	PHROG	6.9e-60	197.6			117576	117971	1	131	130	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_147	Hypothetical							118025	118333				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_148	Hypothetical							118311	118472				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_149	Hypothetical							118515	118877				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_150	hypothetical	phrog_20540	PHROG	6e-87	286.0			118938	119408	1	156	155	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_151	Hypothetical							119440	119574				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_152	Hypothetical							119595	119789				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_153	hypothetical	phrog_35028	PHROG	9.4e-44	144.3			119834	120034	2	66	64	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_154	hypothetical	phrog_21769	PHROG	9e-63	206.0			120122	120475	1	117	116	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_155	nrdI protein	TIGR00333	TIGRFAM	2.1e-52	172.9		nrdI	120475	120870	3	125	122	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_156	ribonucleotide reductase large subunit	phrog_6132	PHROG	3.7e-127	419.4			120833	121555	2	240	238	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_157	ribonucleoside-diphosphate reductase large subunit	pVOG2368	PVOG	6.3e-298	987.0			121793	124339	5	847	842	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_158	Hypothetical							124336	124554				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_159	ribonucleotide reductase class Ia beta subunit	phrog_24856	PHROG	4.6e-122	401.4			124669	125256	1	195	194	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_160	HNH endonuclease	phrog_59	PHROG	1.2e-40	136.1			125361	125882	2	162	160	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_161	ribonucleotide-diphosphate reductase subunit beta	PRK09614.1-2	PGAP	1.2e-50	168.8			126095	126466	2	117	115	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_162	thioredoxin domain	phrog_22	PHROG	4.9e-19	65.1			126463	126705	1	79	78	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_163	dUTP pyrophosphatase (dUTPase)	COG0756	COG	8.6e-42	139.6			126751	127179	1	142	141	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_164	hypothetical	phrog_35917	PHROG	1.7e-107	352.1			127274	127723	1	149	148	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_165	hypothetical	phrog_37778	PHROG	7.7e-42	137.8			128160	128327	1	54	53	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_166	hypothetical	phrog_21564	PHROG	7e-57	186.3			128328	128618	1	96	95	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_167	hypothetical	phrog_38208	PHROG	5.3e-60	198.3			128693	129106	1	131	130	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_168	hypothetical	phrog_24594	PHROG	3.1e-63	207.7			129337	129690	1	117	116	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_169	Hypothetical							129680	129799				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_170	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_all_KEGG	8.1e-45	147.5		sspC	129990	130208	1	72	71	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_171	metallo-phosphoesterase	pVOG3241	PVOG	1.4e-69	231.0			130231	131154	33	307	274	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_172	hypothetical	phrog_30439	PHROG	3.3e-51	168.0			131198	131389	1	63	62	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_173	hypothetical	phrog_29191	PHROG	4e-36	119.0			131429	131560	1	43	42	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_174	hypothetical	phrog_31797	PHROG	2.2e-37	123.3			131596	131742	1	48	47	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_175	hypothetical	phrog_24445	PHROG	4.8e-61	200.1			131879	132181	1	100	99	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_176	hypothetical	phrog_37006	PHROG	2.2e-84	276.4			132367	132729	1	120	119	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_177	Hypothetical							132795	133007				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_178	hypothetical	phrog_34948	PHROG	1.2e-28	95.3			133145	133276	1	43	42	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_179	Hypothetical							133278	133559				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_180	Holliday junction resolvase	pVOG8485	PVOG	2.7e-78	257.9			133595	134182	3	185	182	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_1	hypothetical	phrog_17904	PHROG	5.9e-72	234.8			125	430	1	101	100	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_2	unannotated protein	pVOG0043	PVOG	3e-70	230.2			402	1082	4	216	212	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_3	Hypothetical protein	VOG06678	VOG	1.2e-64	210.9			1104	1388	1	94	93	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_4	hypothetical	phrog_17471	PHROG	4.8e-116	381.6			1912	2490	1	192	191	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_5	hypothetical	phrog_16973	PHROG	8.9e-170	559.1			2492	3259	1	255	254	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_6	hypothetical	phrog_17555	PHROG	7.4e-248	817.7			3261	4322	1	353	352	101
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_7	hypothetical	phrog_20125	PHROG	9.2e-59	191.9			4510	4743	1	77	76	101
