"","final_gene","phage","mmseqs_qseqid","sporulation_hit","Host","Description"
"104557","K01258","OK499991","OK499991_23","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Sophrita"
"104558","K01258","OK499992","OK499992_20","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Nate"
"104559","K01258","OK499994","OK499994_220","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Skywalker"
"104560","K01258","MT254578","MT254578_21","sporulation_gene","Bacillus","Bacillus phage Izhevsk"
"104561","K01258","KT151957","KT151957_157","sporulation_gene","Brevibacillus","Brevibacillus phage SecTim467"
"104562","K01258","NC_071045","NC_071045_21","sporulation_gene","Bacillus","Bacillus phage Izhevsk"
"104563","K01258","NC_071046","NC_071046_220","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Skywalker"
"104564","K01258","ON548420","ON548420_249","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Thrax4"
"104565","K01258","ON548421","ON548421_210","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Thrax5"
"104566","K01258","PP965177","PP965177_249","sporulation_gene","Bacillus","Bacillus phage KoopaTroopa"
"104567","K01258","NC_023007","NC_023007_21","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Tsamsa"
"104568","K01258","NC_028805","NC_028805_152","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"104569","K01258","NC_071049","NC_071049_37","sporulation_gene","Bacillus","Bacillus phage vB_BcoS-136"
"104570","K01258","NC_071042","NC_071042_23","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Sophrita"
"104571","K01258","NC_071043","NC_071043_160","sporulation_gene","Bacillus","Bacillus phage pW2"
"104572","K01258","NC_071044","NC_071044_20","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Nate"
"104573","K23989","KC430106","KC430106_262","sporulation_gene","Bacillus","Bacillus phage BPS10C"
"104574","K23989","KC699836","KC699836_227","sporulation_gene","Bacillus","Bacillus phage SIOphi"
"104575","K01971","AF020713","AF020713_115","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104576","K01971","CP027117","CP027117_47","sporulation_gene","Bacillus","Bacillus phage EZ-2018a"
"104577","K01971","MT366947","MT366947_106","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"104578","K01971","MT366948","MT366948_103","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"104579","K01971","MT601272","MT601272_103","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"104580","K01971","MT601273","MT601273_103","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe12"
"104581","K01971","MT601274","MT601274_106","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"104582","K01971","MZ969646","MZ969646_124","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"104583","K01971","MZ983385","MZ983385_50","sporulation_gene","Psychrobacillus","Psychrobacillus phage PVJ1"
"104584","K01971","NC_001884","NC_001884_115","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104585","K01971","KT151955","KT151955_110","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"104586","K01971","MT366945","MT366945_106","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"104587","K01971","KT151957","KT151957_115","sporulation_gene","Brevibacillus","Brevibacillus phage SecTim467"
"104588","K01971","KY030782","KY030782_106","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104589","K01971","MT366946","MT366946_112","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"104590","K01971","ON107264","ON107264_57","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"104591","K01971","OQ921347","OQ921347_154","sporulation_gene","Bacillus","Bacillus phage SPbetaL7"
"104592","K01971","OQ921336","OQ921336_95","sporulation_gene","Bacillus","Bacillus phage SPO1L1"
"104593","K01971","OQ921346","OQ921346_155","sporulation_gene","Bacillus","Bacillus phage SPbetaL6"
"104594","K01971","PP526179","PP526179_109","sporulation_gene","Bacillus","Bacillus phage phi3T-SPBeta hybrid"
"104595","K01971","OQ921341","OQ921341_167","sporulation_gene","Bacillus","Bacillus phage SPbetaL1"
"104596","K01971","OQ921342","OQ921342_164","sporulation_gene","Bacillus","Bacillus phage SPbetaL2"
"104597","K01971","OQ921343","OQ921343_157","sporulation_gene","Bacillus","Bacillus phage SPbetaL3"
"104598","K01971","OQ921344","OQ921344_153","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"104599","K01971","OQ921345","OQ921345_150","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"104600","K01258","OM236516","OM236516_86","sporulation_gene","Bacillus","Bacillus phage FADO"
"104601","K01258","OM634653","OM634653_198","sporulation_gene","Bacillus","Bacillus phage vB_BsuS_PJN02"
"104602","K01258","ON133270","ON133270_46","sporulation_gene","Bacillus","Bacillus phage 2S-4"
"104603","K01258","ON548418","ON548418_236","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Thrax2"
"104604","K01971","NC_028805","NC_028805_110","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"104605","K01971","ON881243","ON881243_75","sporulation_gene","Bacillus","Bacillus phage PK-3"
"104606","K01994","MF595878","MF595878_3","sporulation_gene","Caldibacillus","Caldibacillus phage CBP1"
"104607","K23989","KX011169","KX011169_96","sporulation_gene","Bacillus","Bacillus phage SalinJah"
"104608","K23989","KX147229","KX147229_97","sporulation_gene","Bacillus","Bacillus phage Belinda"
"104609","K02051","JN638751","JN638751_243","sporulation_gene","Bacillus","Bacillus phage G"
"104610","K02051","JN638751","JN638751_242","sporulation_gene","Bacillus","Bacillus phage G"
"104611","K02051","JN638751","JN638751_243","sporulation_gene","Bacillus","Bacillus phage G"
"104612","K02051","NC_023719","NC_023719_243","sporulation_gene","Bacillus","Bacillus phage G"
"104613","K02051","NC_023719","NC_023719_243","sporulation_gene","Bacillus","Bacillus phage G"
"104614","K02051","NC_023719","NC_023719_242","sporulation_gene","Bacillus","Bacillus phage G"
"104615","K02335","PP579742","PP579742_107","sporulation_gene","Bacillus","Bacillus phage KKP_4047"
"104616","K02335","PP579744","PP579744_105","sporulation_gene","Bacillus","Bacillus phage KKP_4049"
"104617","K02335","OR113390","OR113390_59","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA70"
"104618","K02335","OR208547","OR208547_59","sporulation_gene","Bacillus","Bacillus phage phi18-2"
"104619","K02335","PP468604","PP468604_11","sporulation_gene","Bacillus","Bacillus phage BvP"
"104620","K02335","OR725122","OR725122_77","sporulation_gene","Bacillus","Bacillus phage BC-VP"
"104621","K02335","PP003747","PP003747_120","sporulation_gene","Bacillus","Bacillus phage Z3"
"104622","K02335","PP468604","PP468604_11","sporulation_gene","Bacillus","Bacillus phage BvP"
"104623","K02335","PP579743","PP579743_106","sporulation_gene","Bacillus","Bacillus phage KKP_4048"
"104624","K02335","PQ217617","PQ217617_143","sporulation_gene","Bacillus","Bacillus phage Atlee"
"104625","K02335","PP579745","PP579745_104","sporulation_gene","Bacillus","Bacillus phage KKP_4050"
"104626","K02335","PP819608","PP819608_137","sporulation_gene","Bacillus","Bacillus phage Adastra"
"104627","K02335","OR113388","OR113388_50","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA88"
"104628","K02335","OR113388","OR113388_50","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA88"
"104629","K02335","OR113389","OR113389_57","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA67"
"104630","K02335","OR113389","OR113389_55","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA67"
"104631","K02335","OR113390","OR113390_57","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA70"
"104632","K02335","OP753451","OP753451_14","sporulation_gene","Clostridium","Clostridium phage H1"
"104633","K02335","OR113390","OR113390_57","sporulation_gene","Clostridium","Clostridium phage vB_CtyS-FA70"
"104634","K02335","OP753452","OP753452_14","sporulation_gene","Clostridium","Clostridium phage D1"
"104635","K02335","OP753453","OP753453_14","sporulation_gene","Clostridium","Clostridium phage E1"
"104636","K02335","OQ259509","OQ259509_6","sporulation_gene","Bacillus","Bacillus phage BC-7"
"104637","K02335","OQ870554","OQ870554_40","sporulation_gene","Bacillus","Bacillus phage PSYJ-YH"
"104638","K02335","OQ884030","OQ884030_150","sporulation_gene","Bacillus","Bacillus phage SDFMU_Pbc"
"104639","K02335","OQ884030","OQ884030_150","sporulation_gene","Bacillus","Bacillus phage SDFMU_Pbc"
"104640","K02335","OQ884030","OQ884030_151","sporulation_gene","Bacillus","Bacillus phage SDFMU_Pbc"
"104641","K02335","PQ217616","PQ217616_153","sporulation_gene","Bacillus","Bacillus phage Azalea"
"104642","K02335","OQ921336","OQ921336_83","sporulation_gene","Bacillus","Bacillus phage SPO1L1"
"104643","K02335","OQ921336","OQ921336_83","sporulation_gene","Bacillus","Bacillus phage SPO1L1"
"104644","K02335","OQ921337","OQ921337_81","sporulation_gene","Bacillus","Bacillus phage SPO1L2"
"104645","K02335","OQ921337","OQ921337_81","sporulation_gene","Bacillus","Bacillus phage SPO1L2"
"104646","K02335","OQ921338","OQ921338_82","sporulation_gene","Bacillus","Bacillus phage SPO1L3"
"104647","K02335","PP468604","PP468604_13","sporulation_gene","Bacillus","Bacillus phage BvP"
"104648","K02335","OQ921339","OQ921339_81","sporulation_gene","Bacillus","Bacillus phage SPO1L4"
"104649","K02335","OQ921340","OQ921340_82","sporulation_gene","Bacillus","Bacillus phage SPO1L5"
"104650","K02335","PP579742","PP579742_106","sporulation_gene","Bacillus","Bacillus phage KKP_4047"
"104651","K02335","KY368639","KY368639_133","sporulation_gene","Bacillus","Bacillus phage vB_BsuM-Goe2"
"104652","K02335","KY368640","KY368640_119","sporulation_gene","Bacillus","Bacillus phage vB_BsuM-Goe3"
"104653","K02335","KY888882","KY888882_144","sporulation_gene","Bacillus","Bacillus phage Flapjack"
"104654","K02335","LC785692","LC785692_22","sporulation_gene","Bacillus","Bacillus phage CM1"
"104655","K02335","LT960608","LT960608_164","sporulation_gene","Bacillus","Bacillus phage SBSphiJ"
"104656","K02335","LT960608","LT960608_163","sporulation_gene","Bacillus","Bacillus phage SBSphiJ"
"104657","K02335","LT960610","LT960610_168","sporulation_gene","Bacillus","Bacillus phage SBSphiC"
"104658","K02335","LT960610","LT960610_168","sporulation_gene","Bacillus","Bacillus phage SBSphiC"
"104659","K02335","MF288917","MF288917_154","sporulation_gene","Bacillus","Bacillus phage PPIsBest"
"104660","K02335","MF288917","MF288917_156","sporulation_gene","Bacillus","Bacillus phage PPIsBest"
"104661","K02335","MF288917","MF288917_154","sporulation_gene","Bacillus","Bacillus phage PPIsBest"
"104662","K02335","MF288918","MF288918_157","sporulation_gene","Bacillus","Bacillus phage Bubs"
"104663","K02335","MF288918","MF288918_155","sporulation_gene","Bacillus","Bacillus phage Bubs"
"104664","K02335","MF288918","MF288918_155","sporulation_gene","Bacillus","Bacillus phage Bubs"
"104665","K02335","MF288919","MF288919_154","sporulation_gene","Bacillus","Bacillus phage AaronPhadgers"
"104666","K02335","MF288919","MF288919_154","sporulation_gene","Bacillus","Bacillus phage AaronPhadgers"
"104667","K02335","MF288920","MF288920_157","sporulation_gene","Bacillus","Bacillus phage Zainny"
"104668","K02335","MF288920","MF288920_155","sporulation_gene","Bacillus","Bacillus phage Zainny"
"104669","K02335","MF288921","MF288921_148","sporulation_gene","Bacillus","Bacillus phage OTooleKemple52"
"104670","K02335","MF288922","MF288922_158","sporulation_gene","Bacillus","Bacillus phage Janet"
"104671","K02335","MF418016","MF418016_131","sporulation_gene","Bacillus","Bacillus phage vB_BceM-HSE3"
"104672","K02335","MF418016","MF418016_131","sporulation_gene","Bacillus","Bacillus phage vB_BceM-HSE3"
"104673","K02335","MF422185","MF422185_30","sporulation_gene","Bacillus","Bacillus phage BSP10"
"104674","K02335","MF422185","MF422185_28","sporulation_gene","Bacillus","Bacillus phage BSP10"
"104675","K02335","MF422185","MF422185_28","sporulation_gene","Bacillus","Bacillus phage BSP10"
"104676","K02335","MF498901","MF498901_162","sporulation_gene","Bacillus","Bacillus phage Anthony"
"104677","K02335","MF498901","MF498901_160","sporulation_gene","Bacillus","Bacillus phage Anthony"
"104678","K02335","MF765814","MF765814_144","sporulation_gene","Bacillus","Bacillus phage Taffo16"
"104679","K02335","MG000860","MG000860_30","sporulation_gene","Bacillus","Bacillus phage BSP9"
"104680","K02335","MG000860","MG000860_28","sporulation_gene","Bacillus","Bacillus phage BSP9"
"104681","K02335","MG000860","MG000860_28","sporulation_gene","Bacillus","Bacillus phage BSP9"
"104682","K02335","MG602477","MG602477_104","sporulation_gene","Bacillus","Bacillus phage BCP01"
"104683","K02335","MG763894","MG763894_153","sporulation_gene","Bacillus","Bacillus phage HonestAbe"
"104684","K02335","MG763894","MG763894_153","sporulation_gene","Bacillus","Bacillus phage HonestAbe"
"104685","K02335","MH431938","MH431938_55","sporulation_gene","Paenibacillus","Paenibacillus phage C7Cdelta"
"104686","K02335","MH431938","MH431938_55","sporulation_gene","Paenibacillus","Paenibacillus phage C7Cdelta"
"104687","K02335","MH454076","MH454076_56","sporulation_gene","Paenibacillus","Paenibacillus phage Ash"
"104688","K02335","MH454076","MH454076_56","sporulation_gene","Paenibacillus","Paenibacillus phage Ash"
"104689","K02335","MH454080","MH454080_56","sporulation_gene","Paenibacillus","Paenibacillus phage Ley"
"104690","K02335","MH454080","MH454080_56","sporulation_gene","Paenibacillus","Paenibacillus phage Ley"
"104691","K02335","MH458951","MH458951_36","sporulation_gene","Bacillus","Bacillus phage vB_BthS_BMBphi"
"104692","K02335","MH458951","MH458951_36","sporulation_gene","Bacillus","Bacillus phage vB_BthS_BMBphi"
"104693","K02335","MH460824","MH460824_48","sporulation_gene","Paenibacillus","Paenibacillus phage Unity"
"104694","K02335","MH460825","MH460825_60","sporulation_gene","Paenibacillus","Paenibacillus phage Scottie"
"104695","K02335","MH460826","MH460826_58","sporulation_gene","Paenibacillus","Paenibacillus phage Heath"
"104696","K02335","MH460827","MH460827_58","sporulation_gene","Paenibacillus","Paenibacillus phage Halcyone"
"104697","K07507","NC_023719","NC_023719_255","sporulation_gene","Bacillus","Bacillus phage G"
"104698","K07507","JN638751","JN638751_255","sporulation_gene","Bacillus","Bacillus phage G"
"104699","K07636","KF296717","KF296717_58","sporulation_gene","Bacillus","Bacillus phage proCM3"
"104700","K08309","KM236248","KM236248_19","sporulation_gene","Bacillus","Bacillus phage Pookie"
"104701","K08309","KP144388","KP144388_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104702","K08309","KP144388","KP144388_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104703","K08309","KP411017","KP411017_19","sporulation_gene","Bacillus","Bacillus phage Palmer"
"104704","K08309","KT001911","KT001911_19","sporulation_gene","Bacillus","Bacillus phage Pavlov"
"104705","K08309","KP144388","KP144388_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104706","K08309","AF020713","AF020713_34","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104707","K08309","AF020713","AF020713_34","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104708","K08309","KF669655","KF669655_19","sporulation_gene","Bacillus","Bacillus phage Page"
"104709","K08309","KF669657","KF669657_19","sporulation_gene","Bacillus","Bacillus phage poppyseed"
"104710","K08309","KF669660","KF669660_19","sporulation_gene","Bacillus","Bacillus phage Pony"
"104711","K08309","KM236247","KM236247_18","sporulation_gene","Bacillus","Bacillus phage Pascal"
"104712","K08309","MT366946","MT366946_26","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"104713","K08309","MT366946","MT366946_26","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"104714","K08309","MT366947","MT366947_22","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"104715","K08309","MT366947","MT366947_22","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"104716","K08309","MT366948","MT366948_22","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"104717","K08309","MT366948","MT366948_22","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"104718","K08309","MT601272","MT601272_25","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"104719","K08309","MT601272","MT601272_25","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"104720","K08309","MT601272","MT601272_25","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"104721","K01971","OQ921348","OQ921348_142","sporulation_gene","Bacillus","Bacillus phage SPbetaL8"
"104722","K01971","PP526178","PP526178_107","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104723","K01971","OL580764","OL580764_99","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"104724","K01971","OM236515","OM236515_125","sporulation_gene","Bacillus","Bacillus phage SPR"
"104725","K08309","MT601273","MT601273_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe12"
"104726","K08309","MT601274","MT601274_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"104727","K08309","MT601274","MT601274_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"104728","K08309","MT601274","MT601274_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"104729","K08309","MT601274","MT601274_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"104730","K08309","MZ969646","MZ969646_37","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"104731","K08309","MZ969646","MZ969646_37","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"104732","K08309","MZ969646","MZ969646_37","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"104733","K08309","MZ969646","MZ969646_37","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"104734","K08309","NC_001884","NC_001884_34","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104735","K08309","NC_001884","NC_001884_34","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"104736","K08309","NC_022764","NC_022764_19","sporulation_gene","Bacillus","Bacillus phage Page"
"104737","K08309","NC_022770","NC_022770_19","sporulation_gene","Bacillus","Bacillus phage Pony"
"104738","K08309","NC_027372","NC_027372_18","sporulation_gene","Bacillus","Bacillus phage Pascal"
"104739","K08309","NC_027394","NC_027394_19","sporulation_gene","Bacillus","Bacillus phage Pookie"
"104740","K08309","NC_028782","NC_028782_19","sporulation_gene","Bacillus","Bacillus phage Pavlov"
"104741","K08309","NC_028805","NC_028805_69","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"104742","K08309","NC_028926","NC_028926_19","sporulation_gene","Bacillus","Bacillus phage Palmer"
"104743","K08309","NC_029073","NC_029073_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104744","K08309","NC_029073","NC_029073_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104745","K08309","NC_029073","NC_029073_45","sporulation_gene","Geobacillus","Geobacillus virus E3"
"104746","K08309","KT151955","KT151955_69","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"104747","K08309","KT151957","KT151957_74","sporulation_gene","Brevibacillus","Brevibacillus phage SecTim467"
"104748","K08309","KY030782","KY030782_22","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104749","K08309","KY030782","KY030782_22","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104750","K08309","MT366945","MT366945_22","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"104751","K08309","MT366945","MT366945_22","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"104752","K08309","OM236515","OM236515_47","sporulation_gene","Bacillus","Bacillus phage SPR"
"104753","K08309","OM236515","OM236515_47","sporulation_gene","Bacillus","Bacillus phage SPR"
"104754","K08309","OM634661","OM634661_35","sporulation_gene","Bacillus","Bacillus phage vB_BauM_KLEB27-3"
"104755","K08309","OQ921348","OQ921348_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL8"
"104756","K08309","ON107264","ON107264_152","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"104757","K08309","ON107264","ON107264_152","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"104758","K08309","OQ921342","OQ921342_74","sporulation_gene","Bacillus","Bacillus phage SPbetaL2"
"104759","K08309","OQ846916","OQ846916_89","sporulation_gene","Alicyclobacillus","Alicyclobacillus phage KKP_3916"
"104760","K08309","PP526178","PP526178_22","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104761","K08309","OQ921341","OQ921341_76","sporulation_gene","Bacillus","Bacillus phage SPbetaL1"
"104762","K08309","OQ921341","OQ921341_76","sporulation_gene","Bacillus","Bacillus phage SPbetaL1"
"104763","K08309","OQ921341","OQ921341_76","sporulation_gene","Bacillus","Bacillus phage SPbetaL1"
"104764","K08309","OQ921341","OQ921341_76","sporulation_gene","Bacillus","Bacillus phage SPbetaL1"
"104765","K08309","PP526179","PP526179_22","sporulation_gene","Bacillus","Bacillus phage phi3T-SPBeta hybrid"
"104766","K08309","OQ921342","OQ921342_74","sporulation_gene","Bacillus","Bacillus phage SPbetaL2"
"104767","K08309","OQ921342","OQ921342_74","sporulation_gene","Bacillus","Bacillus phage SPbetaL2"
"104768","K08309","OQ921342","OQ921342_74","sporulation_gene","Bacillus","Bacillus phage SPbetaL2"
"104769","K08309","OQ921343","OQ921343_69","sporulation_gene","Bacillus","Bacillus phage SPbetaL3"
"104770","K08309","OQ921343","OQ921343_69","sporulation_gene","Bacillus","Bacillus phage SPbetaL3"
"104771","K08309","OQ921344","OQ921344_63","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"104772","K08309","OQ921344","OQ921344_63","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"104773","K08309","OQ921344","OQ921344_63","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"104774","K08309","OQ921344","OQ921344_63","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"104775","K08309","OQ921345","OQ921345_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"104776","K08309","OQ921345","OQ921345_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"104777","K08309","OQ921345","OQ921345_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"104778","K08309","OQ921345","OQ921345_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"104779","K08309","OQ921346","OQ921346_66","sporulation_gene","Bacillus","Bacillus phage SPbetaL6"
"104780","K08309","OQ921346","OQ921346_66","sporulation_gene","Bacillus","Bacillus phage SPbetaL6"
"104781","K08309","OQ921347","OQ921347_66","sporulation_gene","Bacillus","Bacillus phage SPbetaL7"
"104782","K08309","OQ921347","OQ921347_66","sporulation_gene","Bacillus","Bacillus phage SPbetaL7"
"104783","K08309","OQ921348","OQ921348_68","sporulation_gene","Bacillus","Bacillus phage SPbetaL8"
"104784","K08309","OR602863","OR602863_21","sporulation_gene","Moorella","Moorella phage MCACPph1"
"104785","K08309","PP526178","PP526178_22","sporulation_gene","Bacillus","Bacillus phage phi3T"
"104786","K08309","OL580764","OL580764_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"104787","K08309","OL580764","OL580764_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"104788","K08309","OL580764","OL580764_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"104789","K08309","OL580764","OL580764_24","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"104790","K08309","OM236515","OM236515_47","sporulation_gene","Bacillus","Bacillus phage SPR"
"104791","K08309","OM236515","OM236515_47","sporulation_gene","Bacillus","Bacillus phage SPR"
"104792","K08309","PP526179","PP526179_22","sporulation_gene","Bacillus","Bacillus phage phi3T-SPBeta hybrid"
"104793","K08884","OQ921346","OQ921346_70","sporulation_gene","Bacillus","Bacillus phage SPbetaL6"
"104794","K08884","OQ921347","OQ921347_70","sporulation_gene","Bacillus","Bacillus phage SPbetaL7"
"104795","K09786","KX495186","KX495186_36","sporulation_gene","Bacillus","Bacillus phage PK16"
"104796","K09786","KT187252","KT187252_31","sporulation_gene","Bacillus","Bacillus phage PBC6"
"104797","K09786","KT224359","KT224359_20","sporulation_gene","Bacillus","Bacillus phage TsarBomba"
"104798","K09786","KU577463","KU577463_18","sporulation_gene","Bacillus","Bacillus phage Deep Blue"
"104799","K09786","MG602477","MG602477_3","sporulation_gene","Bacillus","Bacillus phage BCP01"
"104800","K09786","KX961630","KX961630_16","sporulation_gene","Bacillus","Bacillus phage QCM8"
"104801","K09786","KX987999","KX987999_218","sporulation_gene","Bacillus","Bacillus phage BCP12"
"104802","K09786","LC785692","LC785692_131","sporulation_gene","Bacillus","Bacillus phage CM1"
"104803","K09786","MN150686","MN150686_17","sporulation_gene","Bacillus","Bacillus phage BC-T25"
"104804","K09786","NC_018860","NC_018860_33","sporulation_gene","Bacillus","Bacillus phage BCP78"
"104805","K09786","NC_020873","NC_020873_35","sporulation_gene","Bacillus","Bacillus phage vB_BceM_Bc431v3"
"104806","K09786","NC_024137","NC_024137_25","sporulation_gene","Bacillus","Bacillus phage Bcp1"
"104807","K09786","NC_028890","NC_028890_20","sporulation_gene","Bacillus","Bacillus phage TsarBomba"
"104808","K09786","NC_031056","NC_031056_18","sporulation_gene","Bacillus","Bacillus phage Deep Blue"
"104809","K09786","NC_047735","NC_047735_26","sporulation_gene","Bacillus","Bacillus phage BCU4"
"104810","K09786","OK499977","OK499977_14","sporulation_gene","Bacillus","Bacillus phage vB_BanH_Emiliahah"
"104811","K09786","OK499983","OK499983_12","sporulation_gene","Bacillus","Bacillus phage vB_BanH_McCartney"
